# index, _pos
0,"array([15.28915779, -6.71734994])"
1,"array([15.22898574, -6.30593127])"
2,"array([15.19684503, -6.59007971])"
3,"array([14.84434392, -6.05072031])"
4,"array([14.38524883, -5.91706674])"
5,"array([15.44214804, -6.59664897])"
6,"array([15.11514209, -6.42209839])"
7,"array([15.0125859 , -6.27488732])"
8,"array([15.38422759, -6.43336844])"
9,"array([15.11679518, -6.18696899])"
10,"array([15.61714812, -6.72252341])"
11,"array([15.28946168, -6.49173854])"
12,"array([14.90964102, -5.86533976])"
13,"array([14.59034184, -6.0535487 ])"
14,"array([15.42104914, -6.21813289])"
15,"array([14.1570903 , -5.99008228])"
16,"array([15.87969219, -6.72415671])"
17,"array([14.97481534, -6.10107668])"
18,"array([16.07052916, -6.52216119])"
19,"array([16.01680803, -6.36411993])"
20,"array([15.55274008, -6.89799881])"
21,"array([15.8250826 , -6.50798566])"
22,"array([14.84816287, -6.18333053])"
23,"array([15.54138746, -6.36194966])"
24,"array([14.3342734 , -6.08669791])"
25,"array([14.90604523, -5.62286706])"
